bpm,internal_ts,watch_timestamp,relative_timestamp,DATA ERROR
89.0,613058287000000.0,2024-10-11 11:53:25.170,1.7514572143554688,
90.0,613059287000000.0,2024-10-11 11:53:26.173,1.7514572143554688,
90.0,613060288000000.0,2024-10-11 11:53:27.177,3.6595401763916016,
89.0,613061288000000.0,2024-10-11 11:53:28.168,3.6595401763916016,
,,2024-10-11 11:53:29.168,,SR
,,2024-10-11 11:53:30.168,,SR
,,2024-10-11 11:53:31.168,,SR
,,2024-10-11 11:53:32.168,,SR
,,2024-10-11 11:53:33.168,,SR
,,2024-10-11 11:53:34.168,,SR
,,2024-10-11 11:53:35.168,,SR
,,2024-10-11 11:53:36.168,,SR
,,2024-10-11 11:53:37.168,,SR
,,2024-10-11 11:53:38.168,,SR
92.0,613072293000000.0,2024-10-11 11:53:39.193,4.921869277954102,
93.0,613073293000000.0,2024-10-11 11:53:40.174,4.921869277954102,
,,2024-10-11 11:53:41.174,,SR
,,2024-10-11 11:53:42.174,,SR
,,2024-10-11 11:53:43.174,,SR
,,2024-10-11 11:53:44.174,,SR
,,2024-10-11 11:53:45.174,,SR
,,2024-10-11 11:53:46.174,,SR
,,2024-10-11 11:53:47.174,,SR
,,2024-10-11 11:53:48.174,,SR
,,2024-10-11 11:53:49.174,,SR
,,2024-10-11 11:53:50.174,,SR
,,2024-10-11 11:53:51.174,,SR
,,2024-10-11 11:53:52.174,,SR
96.0,613086297000000.0,2024-10-11 11:53:53.184,5.934924602508545,
95.0,613087297000000.0,2024-10-11 11:53:54.200,5.934924602508545,
,,2024-10-11 11:53:55.200,,SR
94.0,613090298000000.0,2024-10-11 11:53:57.185,9.707028865814207,
93.0,613091298000000.0,2024-10-11 11:53:58.187,9.707028865814207,
,,2024-10-11 11:53:59.187,,SR
,,2024-10-11 11:54:00.187,,SR
,,2024-10-11 11:54:01.187,,SR
,,2024-10-11 11:54:02.187,,SR
93.0,613096298000000.0,2024-10-11 11:54:03.192,2.121234655380249,
94.0,613097299000000.0,2024-10-11 11:54:04.180,2.121234655380249,
,,2024-10-11 11:54:05.180,,SR
93.0,613100298000000.0,2024-10-11 11:54:07.179,6.594019651412964,
93.0,613101299000000.0,2024-10-11 11:54:08.187,6.594019651412964,
,,2024-10-11 11:54:09.187,,SR
,,2024-10-11 11:54:10.187,,SR
,,2024-10-11 11:54:11.187,,SR
,,2024-10-11 11:54:12.187,,SR
,,2024-10-11 11:54:13.187,,SR
,,2024-10-11 11:54:14.187,,SR
,,2024-10-11 11:54:15.187,,SR
,,2024-10-11 11:54:16.187,,SR
,,2024-10-11 11:54:17.187,,SR
,,2024-10-11 11:54:18.187,,SR
,,2024-10-11 11:54:19.187,,SR
,,2024-10-11 11:54:20.187,,SR
95.0,613114301000000.0,2024-10-11 11:54:21.189,5.883984327316284,
94.0,613115302000000.0,2024-10-11 11:54:22.189,5.883984327316284,
,,2024-10-11 11:54:23.189,,SR
,,2024-10-11 11:54:24.189,,SR
,,2024-10-11 11:54:25.189,,SR
,,2024-10-11 11:54:26.189,,SR
100.0,613120303000000.0,2024-10-11 11:54:27.194,11.926629066467283,
101.0,613121303000000.0,2024-10-11 11:54:28.182,11.926629066467283,
102.0,613122303000000.0,2024-10-11 11:54:29.193,13.865503549575806,
102.0,613123303000000.0,2024-10-11 11:54:30.203,13.865503549575806,
,,2024-10-11 11:54:31.203,,SR
,,2024-10-11 11:54:32.203,,SR
,,2024-10-11 11:54:33.203,,SR
,,2024-10-11 11:54:34.203,,SR
,,2024-10-11 11:54:35.203,,SR
,,2024-10-11 11:54:36.203,,SR
,,2024-10-11 11:54:37.203,,SR
,,2024-10-11 11:54:38.203,,SR
,,2024-10-11 11:54:39.203,,SR
,,2024-10-11 11:54:40.203,,SR
,,2024-10-11 11:54:41.203,,SR
,,2024-10-11 11:54:42.203,,SR
,,2024-10-11 11:54:43.203,,SR
,,2024-10-11 11:54:44.203,,SR
,,2024-10-11 11:54:45.203,,SR
,,2024-10-11 11:54:46.203,,SR
,,2024-10-11 11:54:47.203,,SR
,,2024-10-11 11:54:48.203,,SR
,,2024-10-11 11:54:49.203,,SR
,,2024-10-11 11:54:50.203,,SR
,,2024-10-11 11:54:51.203,,SR
,,2024-10-11 11:54:52.203,,SR
,,2024-10-11 11:54:53.203,,SR
,,2024-10-11 11:54:54.203,,SR
,,2024-10-11 11:54:55.203,,SR
96.0,613150305000000.0,2024-10-11 11:54:57.196,9.682681560516356,
94.0,613151305000000.0,2024-10-11 11:54:58.188,9.682681560516356,
,,2024-10-11 11:54:59.188,,SR
,,2024-10-11 11:55:00.188,,SR
,,2024-10-11 11:55:01.188,,SR
,,2024-10-11 11:55:02.188,,SR
93.0,613156308000000.0,2024-10-11 11:55:03.189,16.1249942779541,
94.0,613157309000000.0,2024-10-11 11:55:04.191,16.1249942779541,
,,2024-10-11 11:55:05.191,,SR
,,2024-10-11 11:55:06.191,,SR
,,2024-10-11 11:55:07.191,,SR
,,2024-10-11 11:55:08.191,,SR
,,2024-10-11 11:55:09.191,,SR
,,2024-10-11 11:55:10.191,,SR
,,2024-10-11 11:55:11.191,,SR
,,2024-10-11 11:55:12.191,,SR
,,2024-10-11 11:55:13.191,,SR
,,2024-10-11 11:55:14.191,,SR
,,2024-10-11 11:55:15.191,,SR
,,2024-10-11 11:55:16.191,,SR
,,2024-10-11 11:55:17.191,,SR
,,2024-10-11 11:55:18.191,,SR
,,2024-10-11 11:55:19.191,,SR
,,2024-10-11 11:55:20.191,,SR
,,2024-10-11 11:55:21.191,,SR
,,2024-10-11 11:55:22.191,,SR
,,2024-10-11 11:55:23.191,,SR
,,2024-10-11 11:55:24.191,,SR
,,2024-10-11 11:55:25.191,,SR
,,2024-10-11 11:55:26.191,,SR
90.0,613180321000000.0,2024-10-11 11:55:27.205,15.53771710395813,
91.0,613181321000000.0,2024-10-11 11:55:28.195,15.53771710395813,
88.0,613182321000000.0,2024-10-11 11:55:29.203,17.378300428390503,
89.0,613183322000000.0,2024-10-11 11:55:30.209,17.378300428390503,
,,2024-10-11 11:55:31.209,,SR
,,2024-10-11 11:55:32.209,,SR
