bpm,internal_ts,watch_timestamp,relative_timestamp,DATA ERROR
91.0,826360466000000.0,2024-10-13 23:08:27.345,7.896175861358643,
92.0,826361466000000.0,2024-10-13 23:08:28.348,7.896175861358643,
,,2024-10-13 23:08:29.348,,SR
,,2024-10-13 23:08:30.348,,SR
,,2024-10-13 23:08:31.348,,SR
,,2024-10-13 23:08:32.348,,SR
94.0,826366472000000.0,2024-10-13 23:08:33.353,2.4617228507995605,
92.0,826367473000000.0,2024-10-13 23:08:34.366,2.4617228507995605,
91.0,826368474000000.0,2024-10-13 23:08:35.359,4.525974750518799,
91.0,826369475000000.0,2024-10-13 23:08:36.355,4.525974750518799,
94.0,826370476000000.0,2024-10-13 23:08:37.364,6.593082904815674,
95.0,826371477000000.0,2024-10-13 23:08:38.374,6.593082904815674,
,,2024-10-13 23:08:39.374,,SR
,,2024-10-13 23:08:40.374,,SR
,,2024-10-13 23:08:41.374,,SR
,,2024-10-13 23:08:42.374,,SR
,,2024-10-13 23:08:43.374,,SR
,,2024-10-13 23:08:44.374,,SR
,,2024-10-13 23:08:45.374,,SR
96.0,826380487000000.0,2024-10-13 23:08:47.368,3.670842409133911,
96.0,826381488000000.0,2024-10-13 23:08:48.368,3.670842409133911,
,,2024-10-13 23:08:49.368,,SR
,,2024-10-13 23:08:50.368,,SR
97.0,826384492000000.0,2024-10-13 23:08:51.374,7.863507509231567,
100.0,826385493000000.0,2024-10-13 23:08:52.387,7.863507509231567,
,,2024-10-13 23:08:53.387,,SR
,,2024-10-13 23:08:54.387,,SR
,,2024-10-13 23:08:55.387,,SR
,,2024-10-13 23:08:56.387,,SR
,,2024-10-13 23:08:57.387,,SR
,,2024-10-13 23:08:58.387,,SR
104.0,826392501000000.0,2024-10-13 23:08:59.396,0.456660509109497,
104.0,826393503000000.0,2024-10-13 23:09:00.383,0.456660509109497,
,,2024-10-13 23:09:01.383,,SR
,,2024-10-13 23:09:02.383,,SR
,,2024-10-13 23:09:03.383,,SR
,,2024-10-13 23:09:04.383,,SR
,,2024-10-13 23:09:05.383,,SR
,,2024-10-13 23:09:06.383,,SR
109.0,826400511000000.0,2024-10-13 23:09:07.406,8.381579399108887,
108.0,826401512000000.0,2024-10-13 23:09:08.413,8.381579399108887,
106.0,826402512000000.0,2024-10-13 23:09:09.392,10.43167495727539,
108.0,826403513000000.0,2024-10-13 23:09:10.415,10.43167495727539,
,,2024-10-13 23:09:11.415,,SR
,,2024-10-13 23:09:12.415,,SR
,,2024-10-13 23:09:13.415,,SR
,,2024-10-13 23:09:14.415,,SR
,,2024-10-13 23:09:15.415,,SR
,,2024-10-13 23:09:16.415,,SR
116.0,826410521000000.0,2024-10-13 23:09:17.416,4.069844007492065,
117.0,826411522000000.0,2024-10-13 23:09:18.393,4.069844007492065,
116.0,826412515000000.0,2024-10-13 23:09:19.411,5.911412715911865,
116.0,826413516000000.0,2024-10-13 23:09:20.406,5.911412715911865,
,,2024-10-13 23:09:21.406,,SR
,,2024-10-13 23:09:22.406,,SR
,,2024-10-13 23:09:23.406,,SR
,,2024-10-13 23:09:24.406,,SR
,,2024-10-13 23:09:25.406,,SR
,,2024-10-13 23:09:26.406,,SR
,,2024-10-13 23:09:27.406,,SR
,,2024-10-13 23:09:28.406,,SR
,,2024-10-13 23:09:29.406,,SR
,,2024-10-13 23:09:30.406,,SR
,,2024-10-13 23:09:31.406,,SR
,,2024-10-13 23:09:32.406,,SR
,,2024-10-13 23:09:33.406,,SR
,,2024-10-13 23:09:34.406,,SR
111.0,826428530000000.0,2024-10-13 23:09:35.434,4.85956597328186,
110.0,826429531000000.0,2024-10-13 23:09:36.410,4.85956597328186,
,,2024-10-13 23:09:37.410,,SR
,,2024-10-13 23:09:38.410,,SR
,,2024-10-13 23:09:39.410,,SR
,,2024-10-13 23:09:40.410,,SR
,,2024-10-13 23:09:41.410,,SR
,,2024-10-13 23:09:42.410,,SR
,,2024-10-13 23:09:43.410,,SR
,,2024-10-13 23:09:44.410,,SR
,,2024-10-13 23:09:45.410,,SR
,,2024-10-13 23:09:46.410,,SR
,,2024-10-13 23:09:47.410,,SR
,,2024-10-13 23:09:48.410,,SR
84.0,826442557000000.0,2024-10-13 23:09:49.474,7.896192312240601,
83.0,826443558000000.0,2024-10-13 23:09:50.437,7.896192312240601,
79.0,826444559000000.0,2024-10-13 23:09:51.449,9.939518451690674,
75.0,826445560000000.0,2024-10-13 23:09:52.476,9.939518451690674,
80.0,826446561000000.0,2024-10-13 23:09:53.440,11.907065868377686,
82.0,826447562000000.0,2024-10-13 23:09:54.460,11.907065868377686,
81.0,826448563000000.0,2024-10-13 23:09:55.472,13.753111600875854,
80.0,826449564000000.0,2024-10-13 23:09:56.444,13.753111600875854,
,,2024-10-13 23:09:57.444,,SR
,,2024-10-13 23:09:58.444,,SR
76.0,826452568000000.0,2024-10-13 23:09:59.449,17.82499122619629,
75.0,826453569000000.0,2024-10-13 23:10:00.471,17.82499122619629,
72.0,826454571000000.0,2024-10-13 23:10:01.483,19.88303303718567,
70.0,826455573000000.0,2024-10-13 23:10:02.455,19.88303303718567,
,,2024-10-13 23:10:03.455,,SR
,,2024-10-13 23:10:04.455,,SR
,,2024-10-13 23:10:05.455,,SR
,,2024-10-13 23:10:06.455,,SR
