bpm,internal_ts,watch_timestamp,relative_timestamp,DATA ERROR
103.0,998016909000000.0,2024-10-15 22:49:23.788,1.521836280822754,
104.0,998017911000000.0,2024-10-15 22:49:24.802,1.521836280822754,
,,2024-10-15 22:49:25.802,,SR
,,2024-10-15 22:49:26.802,,SR
97.0,998020917000000.0,2024-10-15 22:49:27.811,5.262754201889038,
97.0,998021919000000.0,2024-10-15 22:49:28.819,5.262754201889038,
,,2024-10-15 22:49:29.819,,SR
101.0,998024925000000.0,2024-10-15 22:49:31.813,9.324197053909302,
102.0,998025927000000.0,2024-10-15 22:49:32.808,9.324197053909302,
,,2024-10-15 22:49:33.808,,SR
,,2024-10-15 22:49:34.808,,SR
109.0,998028932000000.0,2024-10-15 22:49:35.815,13.275824546813965,
111.0,998029934000000.0,2024-10-15 22:49:36.822,13.275824546813965,
